Athlete Name,Country,Sport,Gender,Age,Gold Medals,Silver Medals,Bronze Medals
Alvaro Affonso de Miranda Neto,Brazil,Equestrian,M,39,0,0,0
Christos Afroudakis,Greece,Water Polo,M,28,0,0,0
Georgios Afroudakis,Greece,Water Polo,M,35,0,0,0
Dragos Agache,Romania,Swimming,M,28,0,0,0
Alphonsine Agahozo,Rwanda,Swimming,F,16,0,0,0
Luca Agamennoni,Italy,Rowing,M,32,0,0,0
Mawussi Agbetoglo,Togo,Table Tennis,M,18,0,0,0
Marilyn Agliotti,Netherlands,Hockey,F,33,1,0,0
Yannick Agnel,France,Swimming,M,20,2,1,0
Anna Agrafioti,Greece,Sailing,F,21,0,0,0
Ulrika Agren,Sweden,Handball,F,25,0,0,0
Renzo Agresta,Brazil,Fencing,M,27,0,0,0
Mayra Aguiar,Brazil,Judo,F,21,0,0,1
Alberto Aguilar,Venezuela,Athletics,M,27,0,0,0
Alessandra Aguilar,Spain,Athletics,F,34,0,0,0
Macarena Aguilar Diaz,Spain,Handball,F,27,0,0,1
Inaki Aguilar Vicente,Spain,Water Polo,M,28,0,0,0
Julen Aguinagalde Akizu,Spain,Handball,M,29,0,0,0
Jeinkler Aguirre,Cuba,Diving,M,22,0,0,0
Marcelo Aguirre,Paraguay,Table Tennis,M,19,0,0,0
Matias Aguirregaray,Uruguay,Football,M,23,0,0,0
Mikel Aguirrezabalaga Garcia,Spain,Handball,M,28,0,0,0
Feta Ahamada,Comoros,Athletics,F,25,0,0,0
Johanna Ahlm,Sweden,Handball,F,24,0,0,0
Christian Ahlmann,Germany,Equestrian,M,37,0,0,0
Tontowi Ahmad,Indonesia,Badminton,M,25,0,0,0
Waseem Ahmad,Pakistan,Hockey,M,35,0,0,0
Elaheh Ahmadi,Islamic Republic of Iran,Shooting,F,30,0,0,0
Emin Ahmadov,Azerbaijan,Wrestling,M,25,0,0,1
Abdou Omar Abdou Ahmed,Egypt,Wrestling,M,23,0,0,0
Azneem Ahmed,Maldives,Athletics,M,23,0,0,0
Esmat Ahmed,Egypt,Weightlifting,F,25,0,0,0
Fareed Ahmed,Pakistan,Hockey,M,23,0,0,0
Mohammed Ahmed,Canada,Athletics,M,21,0,0,0
Shehab Ahmed,Egypt,Football,M,21,0,0,0
Odile Ahouanwanou,Benin,Athletics,F,21,0,0,0
Murielle Ahoure,Cote d'Ivoire,Athletics,F,24,0,0,0
Gaby Diana Ahrens,Namibia,Shooting,F,31,0,0,0
Mohammad Ahsan,Indonesia,Badminton,M,24,0,0,0
Johannes Ahun,Estonia,Sailing,M,24,0,0,0
Michelle-Lee Ahye,Trinidad and Tobago,Athletics,F,20,0,0,0
Matteo Aicardi,Italy,Water Polo,M,26,0,1,0
Neringa Aidietyte,Lithuania,Athletics,F,29,0,0,0
Hannes Aigner,Germany,Canoe Slalom,M,23,0,0,1
Ben Ainslie,Great Britain,Sailing,M,35,1,0,0
Tassadit Aissou,Algeria,Volleyball,F,23,0,0,0
Souad Ait Salem,Algeria,Athletics,F,33,0,0,0
Marina Aitova,Kazakhstan,Athletics,F,29,0,0,0
Henriette Akaba Edoa,Cameroon,Football,F,20,0,0,0
Tolga Akcayli,St Vincent and the Grenadines,Swimming,M,19,0,0,0
Tarik Langat Akdag,Turkey,Athletics,M,24,0,0,0
Ahmet Akdilek,Turkey,Cycling - Road,M,24,0,0,0
Taha Akgul,Turkey,Wrestling,M,21,0,0,0
Habibollah Jomeh Akhlaghi,Islamic Republic of Iran,Wrestling,M,27,0,0,0
Artur Akhmatkhuzin,Russian Federation,Fencing,M,24,0,0,0
Esther Akihary,Netherlands,Athletics,F,25,0,0,0
Ozge Akin-Gurler,Turkey,Athletics,F,27,0,0,0
Foluke Akinradewo,United States of America,Volleyball,F,24,0,1,0
Jonathan Akinyemi,Nigeria,Canoe Slalom,M,23,0,0,0
Khadzhimurat Akkaev,Russian Federation,Weightlifting,M,27,0,0,0
Malika Akkaoui,Morocco,Athletics,F,24,0,0,0
Adnan Taess Akkar,Iraq,Athletics,M,32,0,0,0
Youssef Akrout,Tunisia,Sailing,M,21,0,0,0
Chie Akutsu,Japan,Hockey,F,27,0,0,0
Noah Akwu,Nigeria,Athletics,M,21,0,0,0
Ahmed Ali Al Abri,United Arab Emirates,Football,M,22,0,0,0
Noor Amer Al Ameri,Iraq,Shooting,F,18,0,0,0
Omar Abdulrahman Al Amoudi,United Arab Emirates,Football,M,20,0,0,0
Abdulaziz Hussain Al Balooshi,United Arab Emirates,Football,M,21,0,0,0
Mubarak Al Besher,United Arab Emirates,Swimming,M,24,0,0,0
Ramzy Al Duhami,Saudi Arabia,Equestrian,M,40,0,0,1
Rashed Eisa Al Falasi,United Arab Emirates,Football,M,21,0,0,0
Habib Fardan Al Fardan,United Arab Emirates,Football,M,21,0,0,0
Bahaa Al Farra,Palestine,Athletics,M,21,0,0,0
Ali Mabkhout Al Hajeri,United Arab Emirates,Football,M,21,0,0,0
Bahya Mansour Al Hamad,Qatar,Shooting,F,20,0,0,0
Amer Abdulrahman Al Hammadi,United Arab Emirates,Football,M,23,0,0,0
Ismail Al Hammadi,United Arab Emirates,Football,M,24,0,0,0
Ahmed Al Hatmi,Oman,Shooting,M,27,0,0,0
Ismaeil Matar Al Jneibi,United Arab Emirates,Football,M,29,0,0,0
Ahmed Khalil Al Junaibi,United Arab Emirates,Football,M,21,0,0,0
Dawoud Sulaiman Al Quiwaitaei,United Arab Emirates,Football,M,22,0,0,0
HRH Prince Abdullah Al Saud,Saudi Arabia,Equestrian,M,27,0,0,1
Mahmoud Alaa Eldin,Egypt,Football,M,21,0,0,0
Marina Alabau Neira,Spain,Sailing,F,26,1,0,0
Jarkko Ala-Huikku,Finland,Wrestling,M,32,0,0,0
Danielle Alakija,Fiji,Athletics,F,16,0,0,0
Ali Salem Ahmed Faraj Alameri,United Arab Emirates,Football,M,23,0,0,0
Ali Ahmed Al-Amri,Saudi Arabia,Athletics,M,27,0,0,0
Rashid Al-Athba,Qatar,Shooting,M,31,0,0,0
Nasser Al-Attiya,Qatar,Shooting,M,41,0,0,1
Mohammad Al-Azemi,Kuwait,Athletics,M,30,0,0,0
Mohanad Ahmed Dheyaa Al-Azzawi,Iraq,Swimming,M,15,0,0,0
Sultan Mubarak Al-Dawoodi,Saudi Arabia,Athletics,M,35,0,0,0
Mostafa Al-Gamel,Egypt,Athletics,M,23,0,0,0
Nabil Mohammed Al-Garbi,Yemen,Athletics,M,18,0,0,0
Mohamad Al-Garni,Qatar,Athletics,M,20,0,0,0
Shinoona Salah Al-Habsi,Oman,Athletics,F,19,0,0,0
Barakat Mubarak Al-Harthi,Oman,Athletics,M,24,0,0,0
Safaa Al-Jumaili,Iraq,Weightlifting,M,22,0,0,0
Hamdan Al-Kamali,United Arab Emirates,Football,M,23,0,0,0
Noor Hussain Al-Malki,Qatar,Athletics,F,17,0,0,0
Rand Al-Mashhadani,Iraq,Archery,F,18,0,0,0
Ahmed Mohamed Al-Merjabi,Oman,Athletics,M,21,0,0,0
Moukheld Al-Outaibi,Saudi Arabia,Athletics,M,36,0,0,0
Fawaz Al-Shammari,Kuwait,Athletics,M,35,0,0,0
Majed Al-Tamimi,Saudi Arabia,Shooting,M,40,0,0,0
Ali Mohamed Al-Zinkawi,Kuwait,Athletics,M,28,0,0,0
Yenew Alamirew,Ethiopia,Athletics,M,22,0,0,0
Noshad Alamiyan,Islamic Republic of Iran,Table Tennis,M,20,0,0,0
Francisco Roman Alarcon Suarez,Spain,Football,M,20,0,0,0
Dhaher Alaryani,United Arab Emirates,Shooting,M,39,0,0,0
Yousef Alaskari,Kuwait,Swimming,M,18,0,0,0
Janice Alatoa,Vanuatu,Athletics,F,23,0,0,0
Jordi Alba,Spain,Football,M,23,0,0,0
Azad Albarazi,Syrian Arab Republic,Swimming,M,24,0,0,0
Michael Albasini,Switzerland,Cycling - Road,M,31,0,0,0
Ruslan Albegov,Russian Federation,Weightlifting,M,24,0,0,1
Isil Alben,Turkey,Basketball,F,26,0,0,0
Samantha Albert,Jamaica,Equestrian,F,41,0,0,0
Nely Alberto Francisca,Spain,Handball,F,29,0,0,1
Emiliano Albin,Uruguay,Football,M,23,0,0,0
Nicoleta Albu,Romania,Rowing,F,24,0,0,0
Dailenys Alcantara,Cuba,Athletics,F,21,0,0,0
Arnold Alcolea,Cuba,Cycling - Road,M,29,0,0,0
Kyle Alcorn,United States of America,Athletics,M,27,0,0,0
Yamile Aldama,Great Britain,Athletics,F,40,0,0,0
Andrea Aldana Bennett,Guatemala,Sailing,F,23,0,0,0
Ibragim Aldatov,Ukraine,Wrestling,M,28,0,0,0
Fehaid Aldeehani,Kuwait,Shooting,M,45,0,0,1
Humaid Alderei,United Arab Emirates,Judo,M,21,0,0,0
David Alegre,Spain,Hockey,M,27,0,0,0
Ramon Alegre,Spain,Hockey,M,31,0,0,0
Jo Aleh,New Zealand,Sailing,F,26,1,0,0
Eric Alejandro,Puerto Rico,Athletics,M,26,0,0,0
Virgilijus Alekna,Lithuania,Athletics,M,40,0,0,0
Aleksandar Aleksandrov,Azerbaijan,Rowing,M,22,0,0,0
Dmitrii Aleksandrov,Kyrgyzstan,Swimming,M,19,0,0,0
Artur Aleksanyan,Armenia,Wrestling,M,20,0,0,1
Sandra Aleksejeva,Latvia,Cycling - BMX,F,21,0,0,0
Denis Alekseyev,Russian Federation,Athletics,M,24,0,0,0
Aleksandar Aleksic,Serbia,Canoe Sprint,M,20,0,0,0
Milan Aleksic,Serbia,Water Polo,M,26,0,0,1
Todor Aleksiev,Bulgaria,Volleyball,M,29,0,0,0
Ilya Aleksievich,Belarus,Football,M,21,0,0,0
Octavio Alesi Gonzalez,Venezuela,Swimming,M,25,0,0,0
Ayanna Alexander,Trinidad and Tobago,Athletics,F,30,0,0,0
Kineke Alexander,St Vincent and the Grenadines,Athletics,F,26,0,0,0
Dmitriy Alexanin,Kazakhstan,Fencing,M,20,0,0,0
Yevgeniy Alexeyev,Kazakhstan,Canoe Sprint,M,34,0,0,0
Alin Alexuc-Ciurariu,Romania,Wrestling,M,22,0,0,0
Rafael Alfaro,El Salvador,Swimming,M,20,0,0,0
Sara Alflaij,Bahrain,Swimming,F,17,0,0,0
Linda Algotsson,Sweden,Equestrian,F,40,0,0,0
Sara Algotsson Ostholt,Sweden,Equestrian,F,37,0,1,0
Hussain Jamaan Alhamdah,Saudi Arabia,Athletics,M,29,0,0,0
Ibrahem Alhasan,Kuwait,Table Tennis,M,25,0,0,0
Annabel Laure Ali,Cameroon,Wrestling,F,27,0,0,0
Belal Mansoor Ali,Bahrain,Athletics,M,23,0,0,0
Kame Ali,Madagascar,Athletics,M,27,0,0,0
Lahoussine Ali,Morocco,Fencing,M,37,0,0,0
Liaqat Ali,Pakistan,Athletics,M,29,0,0,0
Zourah Ali,Djibouti,Athletics,F,17,0,0,0
Khalid Alibaba,Bahrain,Swimming,M,15,0,0,0
Mirko Alilovic,Croatia,Handball,M,26,0,0,1
Elmir Alimzhanov,Kazakhstan,Fencing,M,25,0,0,0
Alexey Alipov,Russian Federation,Shooting,M,37,0,0,0
Ashraf Aliyev,Azerbaijan,Wrestling,M,26,0,0,0
Hasan Aliyev,Azerbaijan,Wrestling,M,22,0,0,0
Triin Aljand,Estonia,Swimming,F,27,0,0,0
Abdullah Abdulaziz Aljoud,Saudi Arabia,Athletics,M,37,0,0,0
Jasmine Alkhaldi,Philippines,Swimming,F,29,0,0,0
Agnese Allegrini,Italy,Badminton,F,30,0,0,0
Dominique Allen,Great Britain,Basketball,F,22,0,0,0
Elena Allen,Great Britain,Shooting,F,40,0,0,0
Joe Allen,Great Britain,Football,M,22,0,0,0
Sophie Allen,Great Britain,Swimming,F,20,0,0,0
Ade Alleyne-Forte,Trinidad and Tobago,Athletics,M,23,0,0,1
Bradley Ally,Barbados,Swimming,M,25,0,0,0
Miguel Angel Almachi,Ecuador,Athletics,M,27,0,0,0
Nicolas Almagro,Spain,Tennis,M,26,0,0,0
Juma Almaktoum,United Arab Emirates,Shooting,M,27,0,0,0
Saeed Almaktoum,United Arab Emirates,Shooting,M,35,0,0,0
Rose Mary Almanza,Cuba,Athletics,F,20,0,0,0
Abdelaziz Sanqour Almazam,United Arab Emirates,Football,M,23,0,0,0
Carlos Almeida,Portugal,Swimming,M,24,0,0,0
Joao Carlos Almeida,Portugal,Athletics,M,24,0,0,0
Kaio Almeida,Brazil,Swimming,M,27,0,0,0
Nair Almeida,Angola,Handball,F,28,0,0,0
Johanna Almgren,Sweden,Football,F,28,0,0,0
Ghfran Almouhamad,Syrian Arab Republic,Athletics,F,23,0,0,0
Jessica Alonso Bernardo,Spain,Handball,F,28,0,0,1
Kamel Alouini,Tunisia,Handball,M,24,0,0,0
Anthony Alozie,Australia,Athletics,M,25,0,0,0
Abbas Alqaisoum,Saudi Arabia,Weightlifting,M,31,0,0,0
Azza Alqasmi,Bahrain,Shooting,F,27,0,0,0
Abdullah Alrashidi,Kuwait,Shooting,M,48,0,0,0
Talal Alrashidi,Kuwait,Shooting,M,19,0,0,0
Therese Alshammar,Sweden,Swimming,F,34,0,0,0
Julio Alsogaray,Argentina,Sailing,M,32,0,0,0
Ida Alstad,Norway,Handball,F,27,1,0,0
Maria Suelen Altheman,Brazil,Judo,F,24,0,0,0
Eniola Aluko,Great Britain,Football,F,25,0,0,0
Ever Alvarado,Honduras,Football,M,20,0,0,0
Luis Alvarez,Mexico,Archery,M,21,0,0,0
Sergio Alvarez Boulet,Cuba,Weightlifting,M,32,0,0,0
Yuri Alvear,Colombia,Judo,F,26,0,0,1
Thiago Soares Alves,Brazil,Volleyball,M,26,0,1,0
Saad Surour Alyassi,United Arab Emirates,Football,M,22,0,0,0
Darisleydis Amador,Cuba,Canoe Sprint,F,24,0,0,0
Andrey Amador Bakkazakova,Costa Rica,Cycling - Road,M,25,0,0,0
Mohammed Aman,Ethiopia,Athletics,M,18,0,0,0
Ranohon Amanova,Uzbekistan,Swimming,F,18,0,0,0
Dante Amaral,Brazil,Volleyball,M,31,0,1,0
Yadinys Amaris,Colombia,Judo,F,28,0,0,0
Pol Amat,Spain,Hockey,M,34,0,0,0
Doreen Amata,Nigeria,Athletics,F,24,0,0,0
Kim Amb,Sweden,Athletics,M,22,0,0,0
Harald Ambros,Austria,Equestrian,M,32,0,0,0
Nourhan Amer,Egypt,Shooting,F,19,0,0,0
Christine Amertil,Bahamas,Athletics,F,32,0,0,0
Alena Amialiusik,Belarus,Cycling - Road,F,23,0,0,0
Al-Farouq Aminu,Nigeria,Basketball,M,21,0,0,0
Alade Aminu,Nigeria,Basketball,M,24,0,0,0
Eduarda Amorim,Brazil,Handball,F,25,0,0,0
Vanessa Amoros Quiles,Spain,Handball,F,29,0,0,1
Nijel Amos,Botswana,Athletics,M,18,0,1,0
Alberta Boatema Ampomah,Ghana,Weightlifting,F,17,0,0,0
Noureddine Amrabat,Morocco,Football,M,25,0,0,0
Marwa Amri,Tunisia,Wrestling,F,23,0,0,0
Mohamed Amsif,Morocco,Football,M,23,0,0,0
Kum Ae An,Democratic People's Republic  of Korea,Judo,F,32,1,0,0
Phara Anacharsis,France,Athletics,F,28,0,0,0
Tumua Anae,United States of America,Water Polo,F,23,1,0,0
Takamasa Anai,Japan,Judo,M,28,0,0,0
Anis Ananenka,Belarus,Athletics,M,26,0,0,0
Anton Anchin,Russian Federation,Swimming,M,22,0,0,0
David Andersen,Australia,Basketball,M,32,0,0,0
Stine Andersen,Denmark,Shooting,F,27,0,0,0
Alyssa Anderson,United States of America,Swimming,F,21,1,0,0
Haley Anderson,United States of America,Swimming,F,20,0,1,0
Matthew Anderson,United States of America,Volleyball,M,25,0,0,0
Rose Anderson,Great Britain,Basketball,F,24,0,0,0
Isabellah Andersson,Sweden,Athletics,F,31,0,0,0
Kim Andersson,Sweden,Handball,M,29,0,1,0
Mattias Andersson,Sweden,Handball,M,34,0,1,0
Kozue Ando,Japan,Football,F,30,0,1,0
Shunsuke Ando,Japan,Football,M,22,0,0,0
Danail Andonov Petrov,Bulgaria,Cycling - Road,M,34,0,0,0
Francisco Andrade,Portugal,Sailing,M,32,0,0,0
Lady Andrade,Colombia,Football,F,20,0,0,0
Marcia Yuleisi Andrades Mendoza,Venezuela,Wrestling,F,28,0,0,0
Bjorn Andrae,Germany,Volleyball,M,31,0,0,0
Nilson Andre,Brazil,Athletics,M,26,0,0,0
Grigoriy Andreev,Russian Federation,Athletics,M,36,0,0,0
Ekaterina Andreeva,Russian Federation,Swimming,F,19,0,0,0
Iuliia Andreeva,Kyrgyzstan,Athletics,F,28,0,0,0
Viktoriia Andreeva,Russian Federation,Swimming,F,20,0,0,0
Antonakis Andreou,Cyprus,Shooting,M,37,0,0,0
Panagiota Andreou,Cyprus,Shooting,F,16,0,0,0
Jake Andrewartha,Australia,Judo,M,22,0,0,0
Valerii Andriitsev,Ukraine,Wrestling,M,25,0,1,0
Matthieu Androdias,France,Rowing,M,22,0,0,0
Alona Andruk,Ukraine,Cycling - Road,F,25,0,0,0
Georgeta Andrunache,Romania,Rowing,F,36,0,0,0
Tamir Andryei,Mongolia,Swimming,M,26,0,0,0
Juan Diego Angeloni,Argentina,Shooting,M,34,0,0,0
Ivo Serafimov Angelov,Bulgaria,Wrestling,M,27,0,0,0
Tonje Angelsen,Norway,Athletics,F,22,0,0,0
Giuseppe Angilella,Italy,Sailing,M,27,0,0,0
Vitaliy Anichkin,Kazakhstan,Athletics,M,23,0,0,0
Vida Anim,Ghana,Athletics,F,28,0,0,0
Sajjad Anoushiravani Hamlabad,Islamic Republic of Iran,Weightlifting,M,28,0,1,0
Jennifer Anson,Palau,Judo,F,35,0,0,0
Dora Antal,Hungary,Water Polo,F,18,0,0,0
Lissette Alexandra Antes Castillo,Ecuador,Wrestling,F,21,0,0,0
Carmelo Anthony,United States of America,Basketball,M,28,1,0,0
Mark Anthony,Australia,Judo,M,22,0,0,0
Seema Antil,India,Athletics,F,29,0,0,0
Maria Antonelli,Brazil,Beach Volleyball,F,28,0,0,0
Manuel Antonio,Angola,Athletics,M,23,0,0,0
Semen Antonov,Russian Federation,Basketball,M,23,0,0,1
Alexandra Antonova,Russian Federation,Water Polo,F,20,0,0,0
Diana Antonova,Russian Federation,Water Polo,F,19,0,0,0
Tatiana Antoshina,Russian Federation,Cycling - Road,F,30,0,0,0
Jitka Antosova,Czech Republic,Rowing,F,25,0,0,0
Lenka Antosova,Czech Republic,Rowing,F,20,0,0,0
Miika Antti-Roiko,Finland,Weightlifting,M,23,0,0,0
Natalya Antyukh,Russian Federation,Athletics,F,31,1,1,0
Marcos Aoas Correa,Brazil,Football,M,18,0,0,0
Esref Apak,Turkey,Athletics,M,31,0,0,0
Nikolay Apalikov,Russian Federation,Volleyball,M,29,1,0,0
Bolade Apithy,France,Fencing,M,26,0,0,0
Tiago Apolonia,Portugal,Table Tennis,M,26,0,0,0
Lusapho April,South Africa,Athletics,M,30,0,0,0
Javier Aquino,Mexico,Football,M,22,1,0,0
Erika Araki,Japan,Volleyball,F,28,0,0,1
Nada Mohammed W S Arakji,Qatar,Swimming,F,17,0,0,0
Juan Jose Aramburu,Spain,Shooting,M,30,0,0,0
Juan Esteban Arango Carvajal,Colombia,Cycling - Track,M,25,0,0,0
Krystian Aranowski,Poland,Rowing,M,24,0,0,0
Jacob Araptany,Uganda,Athletics,M,18,0,0,0
Yukiya Arashiro,Japan,Cycling - Road,M,27,0,0,0
Nestor Araujo,Mexico,Football,M,20,1,0,0
Edward Araya,Chile,Athletics,M,26,0,0,0
Yerko Araya,Chile,Athletics,M,26,0,0,0
Geisa Arcanjo,Brazil,Athletics,F,20,0,0,0
Shane Archbold,New Zealand,Cycling - Track,M,23,0,0,0
Robert Archibald,Great Britain,Basketball,M,32,0,0,0
Ryan Archibald,New Zealand,Hockey,M,31,0,0,0
Koko Archibong,Nigeria,Basketball,M,31,0,0,0
Giulia Arcioni,Italy,Athletics,F,26,0,0,0
Abeba Aregawi,Ethiopia,Athletics,F,22,0,0,0
Sandra Arenas,Colombia,Athletics,F,18,0,0,0
Humberto Daniel Arencibia Martinez,Cuba,Wrestling,M,22,0,0,0
Mareks Arents,Latvia,Athletics,M,26,0,0,0
Egidio Arevalo,Uruguay,Football,M,30,0,0,0
Eider Arevalo,Colombia,Athletics,M,19,0,0,0
Samantha Arevalo Salinas,Ecuador,Swimming,F,17,0,0,0
Nataly Arias,Colombia,Football,F,26,0,0,0
Ramon Arias,Uruguay,Football,M,20,0,0,0
Candida Estefany Arias Perez,Dominican Republic,Volleyball,F,20,0,0,0
Polat Kemboi Arikan,Turkey,Athletics,M,21,0,0,0
Saori Ariyoshi,Japan,Football,F,24,0,0,0
Natalia Ariza,Colombia,Football,F,21,0,0,0
Tatiana Ariza,Colombia,Football,F,21,0,0,0
Wilma Arizapana,Peru,Athletics,F,29,0,0,0
Elizabeth Armitstead,Great Britain,Cycling - Road,F,23,0,1,0
Michael Arms,New Zealand,Rowing,M,22,0,0,0
Betsey Armstrong,United States of America,Water Polo,F,29,1,0,0
Dylan Armstrong,Canada,Athletics,M,31,0,0,0
Kristin Armstrong,United States of America,Cycling - Road,F,39,1,0,0
Daniel Arnamnart,Australia,Swimming,M,22,0,0,0
Arni Mar Arnason,Iceland,Swimming,M,24,0,0,0
Judith Arndt,Germany,Cycling - Road,F,36,0,1,0
Valentina Arrighetti,Italy,Volleyball,F,27,0,0,0
Gabriel Arroyo,Argentina,Volleyball,M,35,0,0,0
Jorge David Arroyo Valdez,Ecuador,Weightlifting,M,20,0,0,0
Heather Arseth,Mauritius,Swimming,F,19,0,0,0
Artiom Arshanski,Israel,Judo,M,20,0,0,0
Andrea Arsovic,Serbia,Shooting,F,25,0,0,0
Mauricio Arteaga,Ecuador,Athletics,M,24,0,0,0
Olga Arteshina,Russian Federation,Basketball,F,29,0,0,0
Rifat Artikov,Uzbekistan,Athletics,M,29,0,0,0
Danila Artiomov,Republic of Moldova,Swimming,M,17,0,0,0
Eleni Artymata,Cyprus,Athletics,F,26,0,0,0
Quadri Aruna,Nigeria,Table Tennis,M,24,0,0,0
Zorana Arunovic,Serbia,Shooting,F,25,0,0,0
Ardo Arusaar,Estonia,Wrestling,M,24,0,0,0
Vasiliki Arvaniti,Greece,Beach Volleyball,F,27,0,0,0
Sofia Arvidsson,Sweden,Tennis,F,28,0,0,0
Maryna Arzamasava,Belarus,Athletics,F,24,0,0,0
Mohammad Arzandeh,Islamic Republic of Iran,Athletics,M,24,0,0,0
Elena Arzhakova,Russian Federation,Athletics,F,22,0,0,0
Maryam Arzouqi,Kuwait,Shooting,F,25,0,0,0
Laura Asadauskaite,Lithuania,Modern Pentathlon,F,28,1,0,0
Kentaro Asahi,Japan,Beach Volleyball,M,36,0,0,0
